Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;Assists;Touches
1;Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;2000;20;19;1596;17.7;1;1.53;0.28;18.5;0.04;0.2;19;0.11;44
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;1987;22;22;1980;22;0;0.86;0.05;5.3;0;0;13.5;0.05;59.2
3;Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;1999;14;8;770;8.6;0;1.05;0.35;33.3;0;0;19.2;0;62.6
4;Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;2000;20;20;1799;20;1;0.6;0.15;25;0.08;0.33;20.3;0;73.3
5;Laurent Abergel;FRA;MF;Lorient;Ligue 1;30;1993;15;15;1165;12.9;0;0.31;0;0;0;0;23.9;0.08;54.7
6;Oliver Abildgaard;DEN;MF;Hellas Verona;Serie A;26;1996;1;0;11;0.1;0;0;0;0;0;0;0;0;50
7;Matthis Abline;FRA;FWMF;Auxerre;Ligue 1;19;2003;5;2;185;2.1;1;4.29;1.43;33.3;0.11;0.33;20.4;0;25.7
8;Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;2003;11;0;107;1.2;1;5;1.67;33.3;0.17;0.5;12.2;0;30.8
9;Abner;BRA;DF;Betis;La Liga;22;2000;4;3;272;3;0;0.67;0.33;50;0;0;7.8;0;65.7
10;Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;2000;22;17;1507;16.7;5;2.75;1.02;37;0.11;0.29;18.1;0.24;38
11;Tammy Abraham;ENG;FW;Roma;Serie A;25;1997;22;18;1582;17.6;6;2.67;1.25;46.8;0.13;0.27;11.6;0.17;31.6
12;Francesco Acerbi;ITA;DF;Inter;Serie A;35;1988;14;12;1110;12.3;0;0.49;0;0;0;0;17.8;0.08;67.2
13;Mohamed Achi;FRA;FW;Nantes;Ligue 1;21;2002;2;0;36;0.4;0;2.5;0;0;0;0;26.1;0;62.5
14;Marcos Acuña;ARG;DF;Sevilla;La Liga;31;1991;16;12;985;10.9;2;1.47;0.37;25;0.13;0.5;26.5;0.09;74.4
15;Che Adams;SCO;FW;Southampton;Premier League;26;1996;21;18;1577;17.5;4;2.06;0.74;36.1;0.11;0.31;14.5;0.11;32.6
16;Tyler Adams;USA;MF;Leeds United;Premier League;23;1999;19;19;1706;19;0;0.11;0;0;0;0;29.4;0;69.4
17;Sargis Adamyan;ARM;FWMF;Köln;Bundesliga;29;1993;16;3;471;5.2;1;3.46;1.73;50;0.06;0.11;13.7;0.19;42.7
18;Tosin Adarabioyo;ENG;DF;Fulham;Premier League;25;1997;14;12;1095;12.2;1;0.33;0.16;50;0.25;0.5;16.4;0;58.1
19;Martin Adeline;FRA;MFFW;Reims;Ligue 1;19;2003;5;0;107;1.2;0;0.83;0;0;0;0;25.5;0;49.2
20;Karim Adeyemi;GER;FWMF;Dortmund;Bundesliga;21;2002;15;11;765;8.5;2;2.24;0.94;42.1;0.11;0.25;17.9;0.12;48.1
