Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;20;19;1;1.53
Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;22;22;0;0.86
Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;14;8;0;1.05
Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;20;20;1;0.6
Laurent Abergel;FRA;MF;Lorient;Ligue 1;30;15;15;0;0.31
Oliver Abildgaard;DEN;MF;Hellas Verona;Serie A;26;1;0;0;0
Matthis Abline;FRA;FWMF;Auxerre;Ligue 1;19;5;2;1;4.29
Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;11;0;1;5
Abner;BRA;DF;Betis;La Liga;22;4;3;0;0.67
Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;22;17;5;2.75
Tammy Abraham;ENG;FW;Roma;Serie A;25;22;18;6;2.67
Francesco Acerbi;ITA;DF;Inter;Serie A;35;14;12;0;0.49
Mohamed Achi;FRA;FW;Nantes;Ligue 1;21;2;0;0;2.5
Marcos Acuña;ARG;DF;Sevilla;La Liga;31;16;12;2;1.47
Che Adams;SCO;FW;Southampton;Premier League;26;21;18;4;2.06
Tyler Adams;USA;MF;Leeds United;Premier League;23;19;19;0;0.11
Sargis Adamyan;ARM;FWMF;Köln;Bundesliga;29;16;3;1;3.46
Tosin Adarabioyo;ENG;DF;Fulham;Premier League;25;14;12;1;0.33
Martin Adeline;FRA;MFFW;Reims;Ligue 1;19;5;0;0;0.83
Karim Adeyemi;GER;FWMF;Dortmund;Bundesliga;21;15;11;2;2.24
Amine Adli;FRA;FW;Leverkusen;Bundesliga;22;13;6;1;1.94
Yacine Adli;FRA;MFFW;Milan;Serie A;22;4;1;0;1.54
Michel Aebischer;SUI;FWMF;Bologna;Serie A;26;18;8;1;1.16
Felix Afena-Gyan;GHA;FWMF;Cremonese;Serie A;20;12;2;0;2.5
Emmanuel Agbadou;CIV;DF;Reims;Ligue 1;25;19;18;0;0.79
Lucien Agoume;FRA;MF;Troyes;Ligue 1;21;5;4;0;0.31
Felix Agu;GER;DFFW;Werder Bremen;Bundesliga;23;3;0;0;2
Álvaro Aguado;ESP;MF;Valladolid;La Liga;26;19;12;0;0.71
Kevin Agudelo;COL;MFFW;Spezia;Serie A;24;21;16;0;1.13
Nayef Aguerd;MAR;DF;West Ham;Premier League;26;6;5;0;0.88
Ruben Aguilar;FRA;DF;Monaco;Ligue 1;29;13;7;0;0.29
Naouirou Ahamada;FRA;MFFW;Crystal Palace;Premier League;20;2;0;0;5
Naouirou Ahamada;FRA;MF;Stuttgart;Bundesliga;20;17;17;2;1.03
Amar Ahmed;SWE;FW;Troyes;Ligue 1;18;1;0;0;0
Jean-Eudes Aholou;CIV;MF;Strasbourg;Ligue 1;28;19;10;1;0.97
Joseph Aidoo;GHA;DF;Celta Vigo;La Liga;27;20;20;2;0.45
Ola Aina;NGA;DF;Torino;Serie A;26;12;8;1;0.93
Rayan Aït Nouri;FRA;DF;Wolves;Premier League;21;17;9;1;0.99
Emanuel Aiwum;AUT;DF;Cremonese;Serie A;22;15;11;0;0.26
Kristoffer Ajer;NOR;DF;Brentford;Premier League;24;9;9;0;0.12
Ludovic Ajorque;FRA;FW;Strasbourg;Ligue 1;28;13;9;1;2.56
Ludovic Ajorque;FRA;FW;Mainz 05;Bundesliga;28;4;3;0;2.69
Manuel Akanji;SUI;DF;Manchester City;Premier League;27;15;14;0;0.77
Nathan Aké;NED;DF;Manchester City;Premier League;27;15;13;0;0.31
Sergio Akieme;ESP;DF;Almería;La Liga;25;21;21;0;1.05
Maghnes Akliouche;FRA;MFDF;Monaco;Ligue 1;20;6;3;0;0.36
Paul Akouokou;CIV;MF;Betis;La Liga;25;6;2;0;0.77
Jean-Daniel Akpa-Akpro;CIV;MF;Empoli;Serie A;30;12;7;0;1.04
Kevin Akpoguma;NGA;DF;Hoffenheim;Bundesliga;27;16;10;0;0.53
David Alaba;AUT;DF;Real Madrid;La Liga;30;17;15;1;0.59
Tomás Alarcón;CHI;MF;Cádiz;La Liga;24;4;2;0;0.8
Lucas Alario;ARG;FW;Eint Frankfurt;Bundesliga;30;12;2;1;3.21
Jordi Alba;ESP;DF;Barcelona;La Liga;33;14;9;1;0.87
Luis Alberto;ESP;MF;Lazio;Serie A;30;19;11;4;1.45
Raúl Albiol;ESP;DF;Villarreal;La Liga;37;17;17;0;0.06
Marc Albrighton;ENG;FWMF;Leicester City;Premier League;33;6;1;1;0.77
Thiago Alcántara;ESP;MF;Liverpool;Premier League;31;14;14;0;0.7
Carlos Alcaraz;ARG;MF;Southampton;Premier League;20;3;1;1;2.67
Rubén Alcaraz;ESP;MF;Cádiz;La Liga;31;16;11;1;1.52
Omar Alderete;PAR;DF;Getafe;La Liga;26;8;7;0;0.71
Iván Alejo;ESP;MFFW;Cádiz;La Liga;28;16;8;0;1.48
Doðan Alemdar;TUR;GK;Rennes;Ligue 1;20;3;2;0;0
Carles Aleñá;ESP;MF;Getafe;La Liga;25;19;19;2;1.3
Trent Alexander-Arnold;ENG;DF;Liverpool;Premier League;24;20;17;1;1.31
Alejandro Alfaro;ESP;MF;Elche;La Liga;20;1;0;0;0
Ángel Algobia;ESP;MF;Getafe;La Liga;23;14;9;0;0.36
Mohamed Ali Cho;FRA;FW;Real Sociedad;La Liga;19;8;3;0;3.14
Faride Alidou;GER;DFMF;Eint Frankfurt;Bundesliga;21;9;0;0;1.43
Alisson;BRA;GK;Liverpool;Premier League;30;20;20;0;0
